ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,,time_cpu,verif,error,fit
../benchmarks/depth_fusion0,1,1,0,0,64,0,0,0,1,1,1,1,0,0,0,,46.8617,P,N,Y
../benchmarks/depth_fusion1,1,1,0,0,64,0,0,0,1,1,1,1,0,0,1,,46.804,P,N,Y
../benchmarks/depth_fusion2,1,1,0,0,64,0,0,0,1,1,1,1,0,1,0,,47.6549,P,N,Y
../benchmarks/depth_fusion3,1,1,0,0,64,0,0,0,1,1,1,1,0,1,1,,47.5549,P,N,Y
../benchmarks/depth_fusion4,1,1,0,0,64,0,0,0,1,2,1,1,0,0,0,,46.6561,P,N,Y
../benchmarks/depth_fusion5,1,1,0,0,64,0,0,0,1,2,1,1,0,0,1,,46.8735,P,N,Y
../benchmarks/depth_fusion6,1,1,0,0,64,0,0,0,1,2,1,1,0,1,0,,47.5931,P,N,Y
../benchmarks/depth_fusion7,1,1,0,0,64,0,0,0,1,2,1,1,0,1,1,,47.2529,P,N,Y
../benchmarks/depth_fusion8,1,1,0,0,64,0,0,0,2,1,1,1,0,0,0,,44.6255,P,N,Y
../benchmarks/depth_fusion9,1,1,0,0,64,0,0,0,2,1,1,1,0,0,1,,44.6284,P,N,Y
../benchmarks/depth_fusion10,1,1,0,0,64,0,0,0,2,1,1,1,0,1,0,,43.1705,P,N,Y
../benchmarks/depth_fusion11,1,1,0,0,64,0,0,0,2,1,1,1,0,1,1,,43.269,P,N,Y
../benchmarks/depth_fusion12,1,1,0,0,64,0,0,0,2,2,1,1,0,0,0,,44.6844,P,N,Y
../benchmarks/depth_fusion13,1,1,0,0,64,0,0,0,2,2,1,1,0,0,1,,44.4644,P,N,Y
../benchmarks/depth_fusion14,1,1,0,0,64,0,0,0,2,2,1,1,0,1,0,,43.374,P,N,Y
../benchmarks/depth_fusion15,1,1,0,0,64,0,0,0,2,2,1,1,0,1,1,,42.5554,P,N,Y
../benchmarks/depth_fusion16,1,1,0,0,64,0,0,1,1,1,1,1,0,0,0,,46.8923,P,N,Y
../benchmarks/depth_fusion17,1,1,0,0,64,0,0,1,1,1,1,1,0,0,1,,46.5616,P,N,Y
../benchmarks/depth_fusion18,1,1,0,0,64,0,0,1,1,1,1,1,0,1,0,,40.8343,P,N,Y
../benchmarks/depth_fusion19,1,1,0,0,64,0,0,1,1,1,1,1,0,1,1,,42.6031,P,N,Y
../benchmarks/depth_fusion20,1,1,0,0,64,0,0,1,1,2,1,1,0,0,0,,46.7326,P,N,Y
../benchmarks/depth_fusion21,1,1,0,0,64,0,0,1,1,2,1,1,0,0,1,,46.5587,P,N,Y
../benchmarks/depth_fusion22,1,1,0,0,64,0,0,1,1,2,1,1,0,1,0,,41.5864,P,N,Y
../benchmarks/depth_fusion23,1,1,0,0,64,0,0,1,1,2,1,1,0,1,1,,43.4774,P,N,Y
../benchmarks/depth_fusion24,1,1,0,0,64,0,0,1,2,1,1,1,0,0,0,,46.4743,P,N,Y
../benchmarks/depth_fusion25,1,1,0,0,64,0,0,1,2,1,1,1,0,0,1,,46.3682,P,N,Y
../benchmarks/depth_fusion26,1,1,0,0,64,0,0,1,2,1,1,1,0,1,0,,54.456,P,N,Y
../benchmarks/depth_fusion27,1,1,0,0,64,0,0,1,2,1,1,1,0,1,1,,53.6631,P,N,Y
../benchmarks/depth_fusion28,1,1,0,0,64,0,0,1,2,2,1,1,0,0,0,,46.5345,P,N,Y
../benchmarks/depth_fusion29,1,1,0,0,64,0,0,1,2,2,1,1,0,0,1,,46.4843,P,N,Y
../benchmarks/depth_fusion30,1,1,0,0,64,0,0,1,2,2,1,1,0,1,0,,54.2339,P,N,Y
../benchmarks/depth_fusion31,1,1,0,0,64,0,0,1,2,2,1,1,0,1,1,,54.0086,P,N,Y
../benchmarks/depth_fusion32,1,1,0,0,64,0,1,0,1,1,1,1,0,0,0,,25.8698,P,N,Y
../benchmarks/depth_fusion33,1,1,0,0,64,0,1,0,1,1,1,1,0,0,1,,25.8367,P,N,Y
../benchmarks/depth_fusion34,1,1,0,0,64,0,1,0,1,1,1,1,0,1,0,,41.3935,P,N,Y
../benchmarks/depth_fusion35,1,1,0,0,64,0,1,0,1,1,1,1,0,1,1,,41.1078,P,N,Y
../benchmarks/depth_fusion36,1,1,0,0,64,0,1,0,1,1,1,2,0,0,0,,25.9202,P,N,Y
