ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time_fpga,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion0,1,1,0,0,64,0,0,0,1,1,1,1,0,0,0,66,34,70,33,4.76837e-05,999,49761,2544771,-1,41,-1,F,Y,N
../benchmarks/depth_fusion1,1,1,0,0,64,0,0,0,1,1,1,1,0,0,1,66,34,70,33,4.76837e-05,999,49761,2544771,-1,41,-1,F,Y,N
../benchmarks/depth_fusion2,1,1,0,0,64,0,0,0,1,1,1,1,0,1,0,74,40,83,33,4.76837e-05,999,50823,2543118,-1,41,-1,F,Y,N
../benchmarks/depth_fusion3,1,1,0,0,64,0,0,0,1,1,1,1,0,1,1,74,40,83,33,4.76837e-05,999,50710,2543118,-1,41,-1,F,Y,N
../benchmarks/depth_fusion8,1,1,0,0,64,0,0,0,2,1,1,1,0,0,0,82,43,83,59,4.76837e-05,999,52197,2817481,-1,74,-1,F,Y,N
../benchmarks/depth_fusion9,1,1,0,0,64,0,0,0,2,1,1,1,0,0,1,82,43,83,59,4.76837e-05,999,52197,2817481,-1,74,-1,F,Y,N
../benchmarks/depth_fusion10,1,1,0,0,64,0,0,0,2,1,1,1,0,1,0,89,48,98,59,4.14848e-05,999,53510,2739104,-1,74,-1,F,Y,N
../benchmarks/depth_fusion11,1,1,0,0,64,0,0,0,2,1,1,1,0,1,1,89,48,98,59,4.14848e-05,999,53510,2739104,-1,74,-1,F,Y,N
../benchmarks/depth_fusion16,1,1,0,0,64,0,0,1,1,1,1,1,0,0,0,52,25,38,33,0.000190735,33.8089,14268,624274,-1,41,110.22,P,N,Y
../benchmarks/depth_fusion17,1,1,0,0,64,0,0,1,1,1,1,1,0,0,1,52,25,38,33,0.000190735,33.811,14268,624274,-1,41,110.22,P,N,Y
../benchmarks/depth_fusion18,1,1,0,0,64,0,0,1,1,1,1,1,0,1,0,58,30,55,33,0.000190735,8373.8,15886,1094573,-1,41,119.54,P,N,Y
../benchmarks/depth_fusion19,1,1,0,0,64,0,0,1,1,1,1,1,0,1,1,58,30,55,33,0.000190735,8358.4,15903,1094573,-1,41,119.76,P,N,Y
../benchmarks/depth_fusion24,1,1,0,0,64,0,0,1,2,1,1,1,0,0,0,66,32,46,66,0.000190735,30.5312,20516,748990,-1,82,84.44,P,N,Y
../benchmarks/depth_fusion25,1,1,0,0,64,0,0,1,2,1,1,1,0,0,1,66,32,46,66,0.000190735,30.523,20516,748990,-1,82,84.44,P,N,Y
../benchmarks/depth_fusion26,1,1,0,0,64,0,0,1,2,1,1,1,0,1,0,73,38,64,66,0.000165838,30.8098,20830,792018,-1,82,88.12,P,N,Y
../benchmarks/depth_fusion27,1,1,0,0,64,0,0,1,2,1,1,1,0,1,1,73,38,64,66,0.000165838,32.3996,20868,791824,-1,82,84.6,P,N,Y
../benchmarks/depth_fusion32,1,1,0,0,64,0,1,0,1,1,1,1,0,0,0,82,45,58,33,4.59867e-05,2169.38,30911,1101138,-1,41,119.41,P,N,Y
../benchmarks/depth_fusion33,1,1,0,0,64,0,1,0,1,1,1,1,0,0,1,82,45,58,33,4.59867e-05,2241.35,30948,1101138,-1,41,115.87,P,N,Y
../benchmarks/depth_fusion34,1,1,0,0,64,0,1,0,1,1,1,1,0,1,0,72,37,65,33,3.97619e-05,1465.6,20810,976122,-1,41,120.38,F,N,Y
../benchmarks/depth_fusion35,1,1,0,0,64,0,1,0,1,1,1,1,0,1,1,72,37,65,33,3.97619e-05,1470.39,20766,976122,-1,41,119.64,F,N,Y
../benchmarks/depth_fusion36,1,1,0,0,64,0,1,0,1,1,1,2,0,0,0,83,45,60,33,4.28206e-05,2137.14,31083,1101250,-1,41,120.64,P,N,Y
../benchmarks/depth_fusion37,1,1,0,0,64,0,1,0,1,1,1,2,0,0,1,83,45,60,33,4.28206e-05,2137.16,31083,1101250,-1,41,120.64,P,N,Y
../benchmarks/depth_fusion38,1,1,0,0,64,0,1,0,1,1,1,2,0,1,0,73,38,67,33,3.97619e-05,1453.75,20811,976234,-1,41,120.33,F,N,Y
../benchmarks/depth_fusion39,1,1,0,0,64,0,1,0,1,1,1,2,0,1,1,73,38,67,33,3.97619e-05,1332.9,20891,976234,-1,41,131.85,F,N,Y
../benchmarks/depth_fusion40,1,1,0,0,64,0,1,0,1,1,2,1,0,0,0,83,45,59,33,4.28206e-05,2142.7,31111,1100594,-1,41,120.51,P,N,Y
../benchmarks/depth_fusion41,1,1,0,0,64,0,1,0,1,1,2,1,0,0,1,83,45,59,33,4.28206e-05,2142.71,31111,1100594,-1,41,120.51,P,N,Y
../benchmarks/depth_fusion42,1,1,0,0,64,0,1,0,1,1,2,1,0,1,0,72,38,67,33,3.65315e-05,1365.38,20944,975578,-1,41,129.06,F,N,Y
../benchmarks/depth_fusion43,1,1,0,0,64,0,1,0,1,1,2,1,0,1,1,72,38,67,33,3.65315e-05,1382.96,20953,975578,-1,41,127.22,F,N,Y
../benchmarks/depth_fusion44,1,1,0,0,64,0,1,0,1,1,2,2,0,0,0,83,45,60,33,4.28206e-05,2132.67,31041,1100706,-1,41,120.33,P,N,Y
../benchmarks/depth_fusion45,1,1,0,0,64,0,1,0,1,1,2,2,0,0,1,83,45,60,33,4.28206e-05,2132.67,31041,1100706,-1,41,120.33,P,N,Y
../benchmarks/depth_fusion46,1,1,0,0,64,0,1,0,1,1,2,2,0,1,0,72,38,67,33,3.65315e-05,1360.39,20882,975690,-1,41,128.35,F,N,Y
../benchmarks/depth_fusion47,1,1,0,0,64,0,1,0,1,1,2,2,0,1,1,72,38,67,33,3.65315e-05,1380.49,20866,975690,-1,41,126.4,F,N,Y
../benchmarks/depth_fusion66,1,1,0,0,64,0,1,0,2,1,1,1,0,1,0,84,43,75,59,4.26201e-05,888.065,25802,1091839,-1,74,130.24,F,N,Y
../benchmarks/depth_fusion67,1,1,0,0,64,0,1,0,2,1,1,1,0,1,1,84,43,75,59,4.26201e-05,926.052,25829,1091875,-1,74,124.9,F,N,Y
../benchmarks/depth_fusion70,1,1,0,0,64,0,1,0,2,1,1,2,0,1,0,84,43,76,59,4.26201e-05,886.279,25838,1092023,-1,74,128.33,F,N,Y
../benchmarks/depth_fusion71,1,1,0,0,64,0,1,0,2,1,1,2,0,1,1,85,43,76,59,4.26201e-05,916.723,25851,1091923,-1,74,124.28,F,N,Y
../benchmarks/depth_fusion74,1,1,0,0,64,0,1,0,2,1,2,1,0,1,0,84,43,76,59,4.26201e-05,891.684,25858,1091367,-1,74,128.6,F,N,Y
../benchmarks/depth_fusion75,1,1,0,0,64,0,1,0,2,1,2,1,0,1,1,85,43,76,59,4.26201e-05,900.58,25926,1091267,-1,74,126.95,F,N,Y
../benchmarks/depth_fusion78,1,1,0,0,64,0,1,0,2,1,2,2,0,1,0,84,43,76,59,4.56644e-05,871.701,25849,1091863,-1,74,129.73,F,N,Y
../benchmarks/depth_fusion79,1,1,0,0,64,0,1,0,2,1,2,2,0,1,1,85,43,76,59,4.56644e-05,878.844,25877,1091763,-1,74,128.65,F,N,Y
../benchmarks/depth_fusion96,1,1,0,0,64,0,1,1,1,1,1,1,0,0,0,57,28,43,33,0.000183947,72.5674,15417,710279,-1,41,112.77,P,N,Y
../benchmarks/depth_fusion97,1,1,0,0,64,0,1,1,1,1,1,1,0,0,1,57,28,43,33,0.000183947,72.5724,15417,710279,-1,41,112.77,P,N,Y
../benchmarks/depth_fusion98,1,1,0,0,64,0,1,1,1,1,1,1,0,1,0,58,29,47,33,0.000159048,1096.91,15322,664276,-1,41,117.92,F,N,Y
../benchmarks/depth_fusion99,1,1,0,0,64,0,1,1,1,1,1,1,0,1,1,59,29,47,33,0.000159048,1019.8,15278,664396,-1,41,126.85,F,N,Y
../benchmarks/depth_fusion100,1,1,0,0,64,0,1,1,1,1,1,2,0,0,0,58,30,45,33,0.000171282,60.781,15208,654703,-1,41,109.5,P,N,Y
../benchmarks/depth_fusion101,1,1,0,0,64,0,1,1,1,1,1,2,0,0,1,58,30,45,33,0.000171282,60.7783,15208,654703,-1,41,109.5,P,N,Y
../benchmarks/depth_fusion102,1,1,0,0,64,0,1,1,1,1,1,2,0,1,0,59,29,47,33,0.000159048,1063.65,15347,664164,-1,41,120.23,F,N,Y
../benchmarks/depth_fusion103,1,1,0,0,64,0,1,1,1,1,1,2,0,1,1,59,29,47,33,0.000159048,978.725,15312,664284,-1,41,130.69,F,N,Y
../benchmarks/depth_fusion104,1,1,0,0,64,0,1,1,1,1,2,1,0,0,0,58,30,45,33,0.000171282,63.1346,15218,654137,-1,41,113.44,P,N,Y
../benchmarks/depth_fusion105,1,1,0,0,64,0,1,1,1,1,2,1,0,0,1,58,30,45,33,0.000171282,63.1395,15218,654137,-1,41,113.44,P,N,Y
../benchmarks/depth_fusion106,1,1,0,0,64,0,1,1,1,1,2,1,0,1,0,59,29,48,33,0.000146126,1141.58,15449,663732,-1,41,112.44,F,N,Y
../benchmarks/depth_fusion107,1,1,0,0,64,0,1,1,1,1,2,1,0,1,1,59,29,48,33,0.000146126,1013.74,15382,663852,-1,41,126.63,F,N,Y
../benchmarks/depth_fusion108,1,1,0,0,64,0,1,1,1,1,2,2,0,0,0,58,30,45,33,0.000171282,49.907,15210,654025,-1,41,113.81,P,N,Y
../benchmarks/depth_fusion109,1,1,0,0,64,0,1,1,1,1,2,2,0,0,1,58,30,45,33,0.000171282,49.9125,15210,654025,-1,41,113.81,P,N,Y
../benchmarks/depth_fusion110,1,1,0,0,64,0,1,1,1,1,2,2,0,1,0,59,29,48,33,0.000146126,1062.67,15367,663620,-1,41,119.43,F,N,Y
../benchmarks/depth_fusion111,1,1,0,0,64,0,1,1,1,1,2,2,0,1,1,59,30,48,33,0.000146126,1067.4,15376,663740,-1,41,118.9,F,N,Y
../benchmarks/depth_fusion128,1,1,0,0,64,0,1,1,2,1,1,1,0,0,0,74,37,57,66,0.000171282,82.7999,21293,803804,-1,82,86.64,P,N,Y
../benchmarks/depth_fusion129,1,1,0,0,64,0,1,1,2,1,1,1,0,0,1,74,37,57,66,0.000171282,82.8029,21293,803804,-1,82,86.64,P,N,Y
../benchmarks/depth_fusion130,1,1,0,0,64,0,1,1,2,1,1,1,0,1,0,73,36,53,66,0.00017048,82.5177,20626,759604,-1,82,87.42,P,N,Y
../benchmarks/depth_fusion131,1,1,0,0,64,0,1,1,2,1,1,1,0,1,1,73,36,53,66,0.00017048,82.5225,20626,759604,-1,82,87.42,P,N,Y
../benchmarks/depth_fusion132,1,1,0,0,64,0,1,1,2,1,1,2,0,0,0,74,37,58,66,0.000171282,67.1944,21198,803982,-1,82,84.72,P,N,Y
../benchmarks/depth_fusion133,1,1,0,0,64,0,1,1,2,1,1,2,0,0,1,74,37,58,66,0.000171282,67.1865,21198,803982,-1,82,84.72,P,N,Y
../benchmarks/depth_fusion134,1,1,0,0,64,0,1,1,2,1,1,2,0,1,0,73,36,54,66,0.00017048,64.0962,20603,759752,-1,82,89.45,P,N,Y
../benchmarks/depth_fusion135,1,1,0,0,64,0,1,1,2,1,1,2,0,1,1,73,36,54,66,0.00017048,64.1044,20603,759752,-1,82,89.45,P,N,Y
../benchmarks/depth_fusion136,1,1,0,0,64,0,1,1,2,1,2,1,0,0,0,74,37,57,66,0.000171282,72.0636,21268,803326,-1,82,85.65,P,N,Y
../benchmarks/depth_fusion137,1,1,0,0,64,0,1,1,2,1,2,1,0,0,1,74,37,57,66,0.000171282,72.0556,21268,803326,-1,82,85.65,P,N,Y
../benchmarks/depth_fusion138,1,1,0,0,64,0,1,1,2,1,2,1,0,1,0,73,36,54,66,0.00017048,67.9362,20661,759096,-1,82,91.56,P,N,Y
../benchmarks/depth_fusion139,1,1,0,0,64,0,1,1,2,1,2,1,0,1,1,73,36,54,66,0.00017048,67.9241,20661,759096,-1,82,91.56,P,N,Y
../benchmarks/depth_fusion140,1,1,0,0,64,0,1,1,2,1,2,2,0,0,0,74,37,58,66,0.000183517,56.1566,21203,803822,-1,82,82.97,P,N,Y
../benchmarks/depth_fusion141,1,1,0,0,64,0,1,1,2,1,2,2,0,0,1,74,37,58,66,0.000183517,56.1556,21203,803822,-1,82,82.97,P,N,Y
../benchmarks/depth_fusion142,1,1,0,0,64,0,1,1,2,1,2,2,0,1,0,73,36,54,66,0.000182657,54.2689,20636,759592,-1,82,86.67,P,N,Y
../benchmarks/depth_fusion143,1,1,0,0,64,0,1,1,2,1,2,2,0,1,1,73,36,54,66,0.000182657,54.2761,20636,759592,-1,82,86.67,P,N,Y
../benchmarks/depth_fusion160,1,1,0,0,64,0,2,0,1,1,1,1,0,0,0,77,41,73,33,4.59688e-05,482.241,21214,1095018,-1,41,127.82,P,N,Y
../benchmarks/depth_fusion161,1,1,0,0,64,0,2,0,1,1,1,1,0,0,1,77,41,73,33,4.59688e-05,482.248,21214,1095018,-1,41,127.82,P,N,Y
../benchmarks/depth_fusion162,1,1,0,0,64,0,2,0,1,1,1,1,0,1,0,76,41,69,33,3.98396e-05,536.808,21072,1093833,-1,41,121.32,P,N,Y
../benchmarks/depth_fusion163,1,1,0,0,64,0,2,0,1,1,1,1,0,1,1,76,41,69,33,3.98396e-05,536.813,21072,1093833,-1,41,121.32,P,N,Y
../benchmarks/depth_fusion164,1,1,0,0,64,0,2,0,1,1,1,2,0,0,0,74,39,68,33,4.59688e-05,473.181,20855,998676,-1,41,126.93,P,N,Y
../benchmarks/depth_fusion165,1,1,0,0,64,0,2,0,1,1,1,2,0,0,1,74,39,68,33,4.59688e-05,473.19,20855,998676,-1,41,126.93,P,N,Y
../benchmarks/depth_fusion166,1,1,0,0,64,0,2,0,1,1,1,2,0,1,0,74,39,65,33,3.98396e-05,513.39,20738,1003734,-1,41,124.31,P,N,Y
../benchmarks/depth_fusion167,1,1,0,0,64,0,2,0,1,1,1,2,0,1,1,74,39,65,33,3.98396e-05,513.411,20738,1003734,-1,41,124.31,P,N,Y
../benchmarks/depth_fusion168,1,1,0,0,64,0,2,0,1,1,2,1,0,0,0,71,37,64,33,4.29042e-05,510.656,20569,929527,-1,41,117.93,P,N,Y
../benchmarks/depth_fusion169,1,1,0,0,64,0,2,0,1,1,2,1,0,0,1,71,37,64,33,4.29042e-05,510.651,20569,929527,-1,41,117.93,P,N,Y
../benchmarks/depth_fusion170,1,1,0,0,64,0,2,0,1,1,2,1,0,1,0,71,37,62,33,3.98396e-05,521.198,20369,933243,-1,41,123.31,P,N,Y
../benchmarks/depth_fusion171,1,1,0,0,64,0,2,0,1,1,2,1,0,1,1,71,37,62,33,3.98396e-05,521.209,20369,933243,-1,41,123.31,P,N,Y
../benchmarks/depth_fusion172,1,1,0,0,64,0,2,0,1,1,2,2,0,0,0,71,37,63,33,4.28039e-05,480.919,20528,929367,-1,41,123.07,P,N,Y
../benchmarks/depth_fusion173,1,1,0,0,64,0,2,0,1,1,2,2,0,0,1,71,37,63,33,4.28039e-05,480.897,20528,929367,-1,41,123.07,P,N,Y
../benchmarks/depth_fusion174,1,1,0,0,64,0,2,0,1,1,2,2,0,1,0,71,37,62,33,3.97465e-05,506.883,20343,933355,-1,41,123.99,P,N,Y
../benchmarks/depth_fusion175,1,1,0,0,64,0,2,0,1,1,2,2,0,1,1,71,37,62,33,3.97465e-05,506.882,20343,933355,-1,41,123.99,P,N,Y
../benchmarks/depth_fusion192,1,1,0,0,64,0,2,0,2,1,1,1,0,0,0,90,47,84,59,4.29042e-05,486.947,26495,1233634,-1,74,124.64,P,N,Y
../benchmarks/depth_fusion193,1,1,0,0,64,0,2,0,2,1,1,1,0,0,1,90,47,84,59,4.29042e-05,486.939,26495,1233634,-1,74,124.64,P,N,Y
../benchmarks/depth_fusion194,1,1,0,0,64,0,2,0,2,1,1,1,0,1,0,88,46,81,59,4.28039e-05,521.239,26032,1209322,-1,74,121.65,P,N,Y
../benchmarks/depth_fusion195,1,1,0,0,64,0,2,0,2,1,1,1,0,1,1,88,46,81,59,4.28039e-05,521.26,26032,1209322,-1,74,121.65,P,N,Y
../benchmarks/depth_fusion196,1,1,0,0,64,0,2,0,2,1,1,2,0,0,0,87,46,79,59,4.28039e-05,474.343,26000,1141585,-1,74,124.85,P,N,Y
../benchmarks/depth_fusion197,1,1,0,0,64,0,2,0,2,1,1,2,0,0,1,87,46,79,59,4.28039e-05,474.325,26000,1141585,-1,74,124.85,P,N,Y
../benchmarks/depth_fusion198,1,1,0,0,64,0,2,0,2,1,1,2,0,1,0,86,45,77,59,4.27872e-05,503.155,25702,1118777,-1,74,123.15,P,N,Y
../benchmarks/depth_fusion199,1,1,0,0,64,0,2,0,2,1,1,2,0,1,1,86,45,77,59,4.27872e-05,503.158,25702,1118777,-1,74,123.15,P,N,Y
../benchmarks/depth_fusion200,1,1,0,0,64,0,2,0,2,1,2,1,0,0,0,85,44,75,59,4.28039e-05,483.319,25768,1072588,-1,74,123.62,P,N,Y
../benchmarks/depth_fusion201,1,1,0,0,64,0,2,0,2,1,2,1,0,0,1,85,44,75,59,4.28039e-05,483.347,25768,1072588,-1,74,123.62,P,N,Y
../benchmarks/depth_fusion202,1,1,0,0,64,0,2,0,2,1,2,1,0,1,0,83,43,72,59,4.27872e-05,492.689,25370,1048696,-1,74,128.65,P,N,Y
