ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12
../benchmarks/combined0,0,0,0,0,0,0,1,0,1,1,1,77,40,63,50,4.14848E-005,29882,960653,266,60,131.26,Y,0,combined0_timing.csv,296.232303797,0,96.3663544304,0,0,96.3300886076,0,6759.26075949,66.0762911392,6693.09151899,7174.69835443,
../benchmarks/combined2,0,0,0,0,0,0,1,1,1,1,1,71,37,74,50,0.000165838,20599,1068904,242,60,133.06,Y,2,combined2_timing.csv,295.139,0,94.9079240506,0,0,94.8728987342,0,6032.94341772,69.1632025316,5963.68898734,6444.86405063,
../benchmarks/combined8,0,0,0,0,0,1,1,0,1,1,1,83,43,88,50,4.59867E-005,23278,1264232,308,60,131.16,Y,8,combined8_timing.csv,285.144810127,0,94.8596202532,0,0,94.8259113924,0,6983.01253165,66.0126329114,6916.91050633,7385.07113924,
../benchmarks/combined9,0,0,0,0,0,1,1,0,1,1,2,83,43,91,50,4.28206E-005,23329,1267565,311,60,125.84,Y,9,combined9_timing.csv,285.539911392,0,94.6881139241,0,0,94.6533544304,0,7256.62253165,67.9450632911,7188.58835443,7658.52151899,
../benchmarks/combined10,0,0,0,0,0,1,1,0,1,2,1,83,44,89,50,4.28206E-005,23399,1268886,310,60,133.26,Y,10,combined10_timing.csv,290.667620253,0,94.648278481,0,0,94.613164557,0,6961.60822785,67.4990126582,6894.01734177,7368.70088608,
../benchmarks/combined11,0,0,0,0,0,1,1,0,1,2,2,83,43,91,50,4.28206E-005,23296,1267053,311,60,132.43,Y,11,combined11_timing.csv,286.610974684,0,94.6778987342,0,0,94.6434303797,0,6885.28632911,67.662164557,6817.53493671,7288.08822785,
../benchmarks/combined16,0,0,0,0,0,1,1,1,1,1,1,71,36,67,50,0.000165838,21395,1395547,289,60,136.96,Y,16,combined16_timing.csv,288.821278481,0,95.1708987342,0,0,95.1365316456,0,5974.56607595,66.8427721519,5907.63253165,6380.8335443,
../benchmarks/combined17,0,0,0,0,0,1,1,1,1,1,2,77,41,78,50,0.000147422,21190,1121685,249,60,133.24,Y,17,combined17_timing.csv,290.467607595,0,96.2106075949,0,0,96.1748734177,0,6106.90126582,65.9263417722,6040.88341772,6515.80797468,
../benchmarks/combined18,0,0,0,0,0,1,1,1,1,2,1,77,41,71,50,0.000147422,21261,1122440,249,60,132.67,Y,18,combined18_timing.csv,288.189417722,0,94.6419113924,0,0,94.6051518987,0,6211.12607595,68.3059746835,6142.72696203,6615.57443038,
../benchmarks/combined19,0,0,0,0,0,1,1,1,1,2,2,77,41,72,50,0.000132687,21157,1120693,250,60,131.47,Y,19,combined19_timing.csv,288.859329114,0,94.6249493671,0,0,94.5904936709,0,6244.12772152,68.1683417722,6175.86822785,6649.60202532,
../benchmarks/combined41,0,0,0,0,0,2,1,0,1,1,2,83,44,99,50,0.000044364,23548,1497172,344,60,126.39,Y,41,combined41_timing.csv,286.038240506,0,94.5739620253,0,0,94.539556962,0,7222.66139241,68.0563544304,7154.51164557,7624.87151899,
../benchmarks/combined42,0,0,0,0,0,2,1,0,1,2,1,85,44,98,50,4.14064E-005,23618,1498941,340,60,131.92,Y,42,combined42_timing.csv,288.087063291,0,94.5831012658,0,0,94.5484556962,0,6933.56860759,68.0696202532,6865.40873418,7338.03088608,
../benchmarks/combined43,0,0,0,0,0,2,1,0,1,2,2,84,44,99,50,4.13902E-005,23457,1494804,343,60,129.87,Y,43,combined43_timing.csv,291.839506329,0,95.3026329114,0,0,95.2675063291,0,7015.84481013,65.5202151899,6950.23177215,7425.54848101,
../benchmarks/combined48,0,0,0,0,0,2,1,1,1,1,1,71,36,75,50,0.000165838,21582,1614212,318,60,135.04,Y,48,combined48_timing.csv,290.840556962,0,96.0708227848,0,0,96.0370253165,0,6727.93189873,69.3529240506,6658.49151899,7137.55860759,
../benchmarks/combined49,0,0,0,0,0,2,1,1,1,1,2,71,36,68,50,0.000147422,21273,1343294,279,60,132.97,Y,49,combined49_timing.csv,286.578025316,0,94.627164557,0,0,94.5924177215,0,6129.6843038,67.4571518987,6062.13392405,6532.81139241,
../benchmarks/combined50,0,0,0,0,0,2,1,1,1,2,1,72,36,67,50,0.000147422,21634,1346485,284,60,132.83,Y,50,combined50_timing.csv,288.306405063,0,94.6266962025,0,0,94.5918481013,0,6203.43468354,67.8990379747,6135.44329114,6608.21316456,
../benchmarks/combined51,0,0,0,0,0,2,1,1,1,2,2,71,36,68,50,0.000132687,21502,1342306,286,60,137.08,Y,51,combined51_timing.csv,293.811050633,0,95.9639113924,0,0,95.9288227848,0,5991.83101266,66.1228987342,5925.61721519,6404.40341772,
../benchmarks/combined72,0,0,0,0,1,0,1,0,1,1,1,71,35,62,50,0.0908673,19423,996475,226,60,136.7,Y,72,combined72_timing.csv,280.000164557,0,96.5980632911,0,0,96.5631139241,0,147.206379747,70.2060379747,76.9227721519,545.650126582,
../benchmarks/combined74,0,0,0,0,1,1,1,0,1,1,1,73,36,66,50,0.0908673,19721,1042989,238,60,137.04,Y,74,combined74_timing.csv,285.212303797,0,96.4773164557,0,0,96.4433544304,0,146.322392405,69.4605443038,76.7819240506,550.134810127,
../benchmarks/combined76,0,0,0,0,1,2,1,0,1,1,1,73,36,66,50,0.0908673,19713,1042989,238,60,136.74,Y,76,combined76_timing.csv,281.270481013,0,96.8426582278,0,0,96.8098860759,0,140.946607595,65.3251265823,75.5451772152,541.978987342,
../benchmarks/combined78,0,1,0,0,0,0,1,0,1,1,1,76,40,62,48,4.14848E-005,29247,950685,260,58,122.57,Y,78,combined78_timing.csv,292.051797468,0,96.365164557,0,0,96.3298734177,0,7133.90291139,65.2202531646,7068.59037975,7545.08443038,
../benchmarks/combined80,0,1,0,0,0,0,1,1,1,1,1,71,37,73,48,0.000165838,20049,1067912,239,58,133.31,Y,80,combined80_timing.csv,288.842417722,0,94.5343164557,0,0,94.5000126582,0,6067.13481013,67.7674683544,5999.27531646,6472.47721519,
../benchmarks/combined86,0,1,0,0,0,1,1,0,1,1,1,82,43,88,48,4.59867E-005,22816,1263547,307,58,140.03,Y,86,combined86_timing.csv,286.009379747,0,94.6283544304,0,0,94.5937341772,0,6549.06341772,67.7529620253,6481.22050633,6951.3556962,
