ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_EstimatedRaycast,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/raycasting0,0,0,0,0,0,0,0,0,72,36,46,38,4.76837E-005,23216,1030583,248,40,130.16,Y,0,raycasting0_timing.csv,518.348373737,0,562.987676768,50.1586666667,0,512.704,384.820626263,0,719.674020202,89.9985050505,629.590848485,1831.84434343,,0,0.05585
../benchmarks/raycasting1,0,0,0,0,0,0,0,1,74,37,49,46,4.76837E-005,22301,1099561,260,48,131.4,Y,1,raycasting1_timing.csv,521.056363636,0,468.699919192,49.4992929293,0,419.077343434,291.193969697,0,726.306232323,94.7516868687,631.472555556,1747.01363636,,1,0.055603
../benchmarks/raycasting2,0,0,0,0,0,0,0,2,80,39,50,61,4.76837E-005,24924,1169052,278,65,133.76,Y,2,raycasting2_timing.csv,520.221676768,0,258.090454545,49.8074949495,0,208.162414141,80.279040404,0,720.092424242,91.2801616162,628.730464646,1529.95979798,,2,0.055872
../benchmarks/raycasting3,0,0,0,0,0,0,1,0,69,33,38,44,0.195312,24489,860602,211,43,132.1,Y,3,raycasting3_timing.csv,519.248707071,0,229.607727273,49.6527070707,0,179.833454545,51.950080808,0,726.30730303,94.853030303,631.372242424,1506.1369697,,3,0.055911
../benchmarks/raycasting4,0,0,0,0,0,0,1,1,72,35,42,51,0.195312,23719,919234,220,51,130.03,Y,4,raycasting4_timing.csv,518.591373737,0,228.88089899,49.9289393939,0,178.830141414,50.946767677,0,725.371151515,95.6051111111,629.681515152,1503.62616162,,4,0.056041
../benchmarks/raycasting5,0,0,0,0,0,0,1,2,77,38,46,66,0.195312,26030,1018500,261,68,127.35,Y,5,raycasting5_timing.csv,518.937676768,0,212.071828283,49.839959596,0,162.111585859,34.228212122,0,722.906737374,93.6642424242,629.159424242,1484.70020202,,5,0.055778
../benchmarks/raycasting6,0,0,0,0,0,1,0,0,72,36,46,37,4.76837E-005,22965,1030583,248,38,132.69,Y,6,raycasting6_timing.csv,517.922090909,0,533.105434343,49.7077878788,0,483.271858586,355.388484849,0,723.363494949,93.2361414141,630.044555556,1805.23676768,,6,0.055871
../benchmarks/raycasting7,0,0,0,0,0,1,0,1,74,37,48,42,4.76837E-005,22127,1099642,260,44,129.14,Y,7,raycasting7_timing.csv,523.70779798,0,467.824878788,48.8814949495,0,418.821383838,290.938010101,0,718.572222222,89.8941010101,628.597111111,1740.91020202,,7,0.056156
../benchmarks/raycasting8,0,0,0,0,0,1,0,2,79,39,50,57,4.76837E-005,24652,1168982,280,61,134.58,Y,8,raycasting8_timing.csv,518.625808081,0,261.638676768,49.5954949495,0,211.922373737,84.039,0,718.529393939,89.6943131313,628.754242424,1531.49454545,,8,0.055966
../benchmarks/raycasting9,0,0,0,0,0,1,1,0,68,33,38,42,0.195312,24272,860602,211,41,127.45,Y,9,raycasting9_timing.csv,521.645191919,0,231.382616162,49.9454242424,0,181.314040404,53.430666667,0,721.166979798,92.0684747475,629.014767677,1505.27333333,,9,0.056122
../benchmarks/raycasting10,0,0,0,0,0,1,1,1,70,34,41,47,0.195312,23298,919234,220,47,134.1,Y,10,raycasting10_timing.csv,520.674505051,0,227.680848485,49.6853131313,0,177.873686869,49.990313132,0,721.81440404,92.3332828283,629.400474747,1501.32565657,,10,0.055888
../benchmarks/raycasting11,0,0,0,0,0,1,1,2,75,37,45,63,0.195312,25615,1018500,261,64,128.23,Y,11,raycasting11_timing.csv,518.15679798,0,209.293505051,49.5253333333,0,159.649979798,31.766606061,0,724.474747475,93.7826565657,630.612,1482.95606061,,11,0.055617
../benchmarks/raycasting12,0,0,0,0,1,0,0,0,72,35,45,38,4.76837E-005,23166,1030604,247,40,127.48,Y,12,raycasting12_timing.csv,518.279747475,0,593.42830303,49.709,0,543.593737374,415.710363637,0,720.194383838,91.1738787879,628.938878788,1862.89444444,,12,0.056139
../benchmarks/raycasting13,0,0,0,0,1,0,0,1,74,37,47,46,4.76837E-005,22321,1099582,259,48,131.37,Y,13,raycasting13_timing.csv,519.185454545,0,411.001050505,49.6768484848,0,361.199808081,233.316434344,0,720.124757576,91.9032626263,628.137676768,1681.33222222,,13,0.056012
../benchmarks/raycasting14,0,0,0,0,1,0,0,2,79,39,49,61,4.76837E-005,24934,1169073,277,65,122.77,Y,14,raycasting14_timing.csv,516.529969697,0,264.756010101,48.0068585859,0,216.63340404,88.750030303,0,706.945040404,85.6207373737,621.253242424,1519.29636364,,14,0.05565
../benchmarks/raycasting15,0,0,0,0,1,0,1,0,71,34,40,44,0.195312,24615,900282,216,43,129.16,Y,15,raycasting15_timing.csv,522.451545455,0,226.432838384,49.6501212121,0,176.662848485,48.779474748,0,726.96,95.4184949495,631.45930303,1506.91707071,,15,0.055006
../benchmarks/raycasting17,0,0,0,0,1,0,1,2,79,38,48,66,0.195312,26094,1058180,266,68,132.04,Y,17,raycasting17_timing.csv,520.561636364,0,206.477737374,49.6347979798,0,156.723969697,28.84059596,0,720.250040404,92.0584343434,628.106222222,1478.18646465,,17,0.054656
../benchmarks/raycasting18,0,0,0,0,1,1,0,0,71,35,44,37,4.76837E-005,22976,1030604,247,38,123.15,Y,18,raycasting18_timing.csv,518.496212121,0,604.575949495,47.9881919192,0,556.463939394,428.580565657,0,710.854161616,85.9117070707,624.865313131,1864.99141414,,18,0.056139
../benchmarks/raycasting19,0,0,0,0,1,1,0,1,74,36,47,42,4.76837E-005,22066,1099663,259,44,128.81,Y,19,raycasting19_timing.csv,518.648151515,0,446.817111111,48.9603131313,0,397.733383838,269.850010101,0,720.473787879,91.6327070707,628.760121212,1716.88474747,,19,0.055662
../benchmarks/raycasting20,0,0,0,0,1,1,0,2,79,39,49,57,4.76837E-005,24625,1169003,279,61,131.22,Y,20,raycasting20_timing.csv,517.648818182,0,258.733606061,48.0074242424,0,210.607929293,82.724555556,0,713.179242424,86.437959596,626.661808081,1520.87717172,,20,0.05565
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,70,34,40,42,0.195312,24350,900282,216,41,132.81,Y,21,raycasting21_timing.csv,521.667585859,0,224.999505051,49.5632323232,0,175.314666667,47.43129293,0,726.494474747,95.8115555556,630.598717172,1503.96070707,,21,0.054903
