ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/combined0,0,0,0,0,0,0,1,0,1,1,1,77,40,63,50,4.14848E-005,29882,960653,266,60,131.26,Y,0,combined0_timing.csv,508.131040404,0,127.583242424,0,0,127.549494949,0,3355.48969697,81.7497474747,3273.65525253,4022.36858586,,0,0.032316
../benchmarks/combined2,0,0,0,0,0,0,1,1,1,1,1,71,37,74,50,0.000165838,20599,1068904,242,60,133.06,Y,2,combined2_timing.csv,503.17779798,0,127.305565657,0,0,127.270929293,0,3074.7789899,84.0167777778,2990.67515152,3735.91141414,,2,0.032277
../benchmarks/combined8,0,0,0,0,0,1,1,0,1,1,1,83,43,88,50,4.59867E-005,23278,1264232,308,60,131.16,Y,8,combined8_timing.csv,498.449090909,0,126.290363636,0,0,126.255121212,0,3513.47373737,83.6822323232,3429.70555556,4168.20838384,,8,0.032312
../benchmarks/combined9,0,0,0,0,0,1,1,0,1,1,2,83,43,91,50,4.28206E-005,23329,1267565,311,60,125.84,Y,9,combined9_timing.csv,502.191878788,0,129.581787879,0,0,129.548707071,0,3644.22818182,81.2885454545,3562.85454545,4307.45434343,,9,0.032302
../benchmarks/combined10,0,0,0,0,0,1,1,0,1,2,1,83,44,89,50,4.28206E-005,23399,1268886,310,60,133.26,Y,10,combined10_timing.csv,504.867666667,0,129.750686869,0,0,129.718484848,0,3451.92565657,81.8991414141,3369.94232323,4117.4310101,,10,0.032316
../benchmarks/combined11,0,0,0,0,0,1,1,0,1,2,2,83,43,91,50,4.28206E-005,23296,1267053,311,60,132.43,Y,11,combined11_timing.csv,505.53110101,0,131.154606061,0,0,131.121505051,0,3462.81444444,81.6977272727,3381.03343434,4130.34131313,,11,0.032316
../benchmarks/combined16,0,0,0,0,0,1,1,1,1,1,1,71,36,67,50,0.000165838,21395,1395547,289,60,136.96,Y,16,combined16_timing.csv,498.501484848,0,126.281575758,0,0,126.247848485,0,3019.12080808,82.8665454545,2936.16939394,3673.88989899,,16,0.032238
../benchmarks/combined17,0,0,0,0,0,1,1,1,1,1,2,77,41,78,50,0.000147422,21190,1121685,249,60,133.24,Y,17,combined17_timing.csv,501.96040404,0,129.631848485,0,0,129.599606061,0,3084.01565657,81.7444444444,3002.18969697,3746.79020202,,17,0.032362
../benchmarks/combined18,0,0,0,0,0,1,1,1,1,2,1,77,41,71,50,0.000147422,21261,1122440,249,60,132.67,Y,18,combined18_timing.csv,501.250828283,0,129.660393939,0,0,129.627535354,0,3107.81909091,81.3926060606,3026.34242424,3769.81868687,,18,0.032238
../benchmarks/combined19,0,0,0,0,0,1,1,1,1,2,2,77,41,72,50,0.000132687,21157,1120693,250,60,131.47,Y,19,combined19_timing.csv,500.73510101,0,129.815141414,0,0,129.781616162,0,3130.86161616,81.3567070707,3049.42040404,3792.61656566,,19,0.032277
../benchmarks/combined41,0,0,0,0,0,2,1,0,1,1,2,83,44,99,50,0.000044364,23548,1497172,344,60,126.39,Y,41,combined41_timing.csv,498.361474747,0,126.223010101,0,0,126.188373737,0,3632.33535354,84.585010101,3547.66393939,4287.07878788,,41,0.032295
../benchmarks/combined42,0,0,0,0,0,2,1,0,1,2,1,85,44,98,50,4.14064E-005,23618,1498941,340,60,131.92,Y,42,combined42_timing.csv,500.834646465,0,130.621545455,0,0,130.588949495,0,3487.45434343,81.8878787879,3405.48323232,4150.05717172,,42,0.032295
../benchmarks/combined43,0,0,0,0,0,2,1,0,1,2,2,84,44,99,50,4.13902E-005,23457,1494804,343,60,129.87,Y,43,combined43_timing.csv,497.947808081,0,126.285121212,0,0,126.251070707,0,3533.80707071,82.9527777778,3450.76949495,4188.08606061,,43,0.032336
../benchmarks/combined48,0,0,0,0,0,2,1,1,1,1,1,71,36,75,50,0.000165838,21582,1614212,318,60,135.04,Y,48,combined48_timing.csv,507.192909091,0,126.845393939,0,0,126.810545455,0,3057.97969697,82.9252525253,2974.96838384,3722.98171717,,48,0.032242
../benchmarks/combined49,0,0,0,0,0,2,1,1,1,1,2,71,36,68,50,0.000147422,21273,1343294,279,60,132.97,Y,49,combined49_timing.csv,499.295010101,0,126.248282828,0,0,126.214343434,0,3096.14121212,84.3272222222,3011.73040404,3751.73373737,,49,0.032275
../benchmarks/combined50,0,0,0,0,0,2,1,1,1,2,1,72,36,67,50,0.000147422,21634,1346485,284,60,132.83,Y,50,combined50_timing.csv,498.925444444,0,126.227616162,0,0,126.193737374,0,3109.82919192,85.5501414141,3024.19505051,3765.01959596,,50,0.032238
../benchmarks/combined51,0,0,0,0,0,2,1,1,1,2,2,71,36,68,50,0.000132687,21502,1342306,286,60,137.08,Y,51,combined51_timing.csv,499.722535354,0,126.442565657,0,0,126.408565657,0,3006.88222222,84.1242424242,2922.67121212,3663.40232323,,51,0.032238
../benchmarks/combined72,0,0,0,0,1,0,1,0,1,1,1,71,35,62,50,0.0908673,19423,996475,226,60,136.7,Y,72,combined72_timing.csv,497.567373737,0,128.812484848,0,0,128.776909091,0,168.246606061,85.6964949495,82.4707474747,824.81959596,,72,0.034508
../benchmarks/combined74,0,0,0,0,1,1,1,0,1,1,1,73,36,66,50,0.0908673,19721,1042989,238,60,137.04,Y,74,combined74_timing.csv,498.083242424,0,128.291525253,0,0,128.255959596,0,168.532242424,85.7475050505,82.7073333333,824.667272727,,74,0.034555
../benchmarks/combined76,0,0,0,0,1,2,1,0,1,1,1,73,36,66,50,0.0908673,19713,1042989,238,60,136.74,Y,76,combined76_timing.csv,500.439686869,0,130.853808081,0,0,130.820707071,0,163.050414141,82.0181717172,80.9548888889,825.43,,76,0.034731
../benchmarks/combined78,0,1,0,0,0,0,1,0,1,1,1,76,40,62,48,4.14848E-005,29214,950685,260,58,131.09,Y,78,combined78_timing.csv,500.794707071,0,129.646686869,0,0,129.614545455,0,3360.56868687,81.3197272727,3279.16767677,4022.53454545,,78,0.032401
../benchmarks/combined80,0,1,0,0,0,0,1,1,1,1,1,71,37,73,48,0.000165838,20042,1067912,239,58,136.91,Y,80,combined80_timing.csv,498.485343434,0,126.324666667,0,0,126.290858586,0,2993.98777778,83.5457070707,2910.35747475,3648.90818182,,80,0.032242
