ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/combined0,0,0,0,0,0,0,1,0,1,1,1,77,40,63,50,4.14848E-005,29882,960653,266,60,131.26,Y,0,combined0_timing.csv,467.695969697,0,134.855010101,0,0,134.819929293,0,2480.05787879,85.3055151515,2394.66232323,3113.57020202,,0,0.060844
../benchmarks/combined2,0,0,0,0,0,0,1,1,1,1,1,71,37,74,50,0.000165838,20599,1068904,242,60,133.06,Y,2,combined2_timing.csv,468.118242424,0,132.127707071,0,0,132.09310101,0,2269.50424242,81.5667070707,2187.84939394,2900.87363636,,2,0.060659
../benchmarks/combined8,0,0,0,0,0,1,1,0,1,1,1,83,43,88,50,4.59867E-005,23278,1264232,308,60,131.16,Y,8,combined8_timing.csv,467.004333333,0,132.776777778,0,0,132.742050505,0,2585.43121212,80.9416767677,2504.40222222,3216.32313131,,8,0.060665
../benchmarks/combined9,0,0,0,0,0,1,1,0,1,1,2,83,43,91,50,4.28206E-005,23329,1267565,311,60,125.84,Y,9,combined9_timing.csv,466.798636364,0,131.752979798,0,0,131.720414141,0,2685.56828283,81.2238888889,2604.25707071,3315.21606061,,9,0.060692
../benchmarks/combined10,0,0,0,0,0,1,1,0,1,2,1,83,44,89,50,4.28206E-005,23399,1268886,310,60,133.26,Y,10,combined10_timing.csv,466.582666667,0,132.15620202,0,0,132.122272727,0,2546.07737374,80.8132828283,2465.17474747,3176.31393939,,10,0.060746
../benchmarks/combined11,0,0,0,0,0,1,1,0,1,2,2,83,43,91,50,4.28206E-005,23296,1267053,311,60,132.43,Y,11,combined11_timing.csv,473.029787879,0,133.102272727,0,0,133.067676768,0,2558.77272727,87.8038282828,2470.87848485,3196.29191919,,11,0.060665
../benchmarks/combined16,0,0,0,0,0,1,1,1,1,1,1,71,36,67,50,0.000165838,21395,1395547,289,60,136.96,Y,16,combined16_timing.csv,466.580737374,0,129.465030303,0,0,129.428575758,0,2248.77363636,99.7791212121,2148.90373737,2875.86737374,,16,0.060918
../benchmarks/combined17,0,0,0,0,0,1,1,1,1,1,2,77,41,78,50,0.000147422,21190,1121685,249,60,133.24,Y,17,combined17_timing.csv,468.154252525,0,131.231252525,0,0,131.194343434,0,2297.53555556,97.2102525253,2200.23585859,2927.90656566,,17,0.060621
../benchmarks/combined18,0,0,0,0,0,1,1,1,1,2,1,77,41,71,50,0.000147422,21261,1122440,249,60,132.67,Y,18,combined18_timing.csv,466.395050505,0,131.93989899,0,0,131.906838384,0,2294.48767677,81.7723737374,2212.62707071,2923.8159596,,18,0.060674
../benchmarks/combined19,0,0,0,0,0,1,1,1,1,2,2,77,41,72,50,0.000132687,21157,1120693,250,60,131.47,Y,19,combined19_timing.csv,465.725818182,0,130.448858586,0,0,130.411848485,0,2324.03212121,96.7127777778,2227.22989899,2950.64969697,,19,0.060918
../benchmarks/combined41,0,0,0,0,0,2,1,0,1,1,2,83,44,99,50,0.000044364,23548,1497172,344,60,126.39,Y,41,combined41_timing.csv,475.848818182,0,131.784010101,0,0,131.747959596,0,2682.64060606,90.6018080808,2591.94575758,3322.60505051,,41,0.060844
../benchmarks/combined42,0,0,0,0,0,2,1,0,1,2,1,85,44,98,50,4.14064E-005,23618,1498941,340,60,131.92,Y,42,combined42_timing.csv,475.397666667,0,132.08979798,0,0,132.054080808,0,2577.57606061,87.992,2489.4940404,3216.46474747,,42,0.060844
../benchmarks/combined43,0,0,0,0,0,2,1,0,1,2,2,84,44,99,50,4.13902E-005,23457,1494804,343,60,129.87,Y,43,combined43_timing.csv,468.416454545,0,131.932141414,0,0,131.896767677,0,2606.96333333,86.4804646465,2520.39343434,3238.33858586,,43,0.060843
../benchmarks/combined48,0,0,0,0,0,2,1,1,1,1,1,71,36,75,50,0.000165838,21582,1614212,318,60,135.04,Y,48,combined48_timing.csv,465.526222222,0,129.523454545,0,0,129.486747475,0,2275.38676768,96.9772525253,2178.31767677,2900.73535354,,48,0.060918
../benchmarks/combined49,0,0,0,0,0,2,1,1,1,1,2,71,36,68,50,0.000147422,21273,1343294,279,60,132.97,Y,49,combined49_timing.csv,469.425676768,0,131.990414141,0,0,131.955242424,0,2287.45262626,84.6212121212,2202.7440404,2920.0840404,,49,0.060712
../benchmarks/combined50,0,0,0,0,0,2,1,1,1,2,1,72,36,67,50,0.000147422,21634,1346485,284,60,132.83,Y,50,combined50_timing.csv,468.498424242,0,131.690070707,0,0,131.653686869,0,2297.83131313,86.5032828283,2211.23666667,2929.52868687,,50,0.060712
../benchmarks/combined51,0,0,0,0,0,2,1,1,1,2,2,71,36,68,50,0.000132687,21502,1342306,286,60,137.08,Y,51,combined51_timing.csv,467.372393939,0,130.785090909,0,0,130.748666667,0,2234.9989899,97.7040505051,2137.20444444,2864.74868687,,51,0.060858
../benchmarks/combined72,0,0,0,0,1,0,1,0,1,1,1,71,35,62,50,0.0908673,19423,996475,226,60,136.7,Y,72,combined72_timing.csv,465.120565657,0,133.031151515,0,0,132.99720202,0,157.202858586,82.1887373737,74.9372626263,786.84969697,,72,0.06257
