ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/raycasting0,0,0,0,0,0,0,0,0,72,36,46,38,4.76837e-05,23216,1030583,248,40,130.16,Y
../benchmarks/raycasting1,0,0,0,0,0,0,0,1,74,37,49,46,4.76837e-05,22301,1099561,260,48,131.4,Y
../benchmarks/raycasting2,0,0,0,0,0,0,0,2,80,39,50,61,4.76837e-05,24924,1169052,278,65,133.76,Y
../benchmarks/raycasting3,0,0,0,0,0,0,1,0,69,33,38,44,0.195312,24489,860602,211,43,132.1,Y
../benchmarks/raycasting4,0,0,0,0,0,0,1,1,72,35,42,51,0.195312,23719,919234,220,51,130.03,Y
../benchmarks/raycasting5,0,0,0,0,0,0,1,2,77,38,46,66,0.195312,26030,1018500,261,68,127.35,Y
../benchmarks/raycasting6,0,0,0,0,0,1,0,0,72,36,46,37,4.76837e-05,22965,1030583,248,38,132.69,Y
../benchmarks/raycasting7,0,0,0,0,0,1,0,1,74,37,48,42,4.76837e-05,22127,1099642,260,44,129.14,Y
../benchmarks/raycasting8,0,0,0,0,0,1,0,2,79,39,50,57,4.76837e-05,24652,1168982,280,61,134.58,Y
../benchmarks/raycasting9,0,0,0,0,0,1,1,0,68,33,38,42,0.195312,24272,860602,211,41,127.45,Y
../benchmarks/raycasting10,0,0,0,0,0,1,1,1,70,34,41,47,0.195312,23298,919234,220,47,134.1,Y
../benchmarks/raycasting11,0,0,0,0,0,1,1,2,75,37,45,63,0.195312,25615,1018500,261,64,128.23,Y
../benchmarks/raycasting12,0,0,0,0,1,0,0,0,72,35,45,38,4.76837e-05,23166,1030604,247,40,127.48,Y
../benchmarks/raycasting13,0,0,0,0,1,0,0,1,74,37,47,46,4.76837e-05,22321,1099582,259,48,131.37,Y
../benchmarks/raycasting14,0,0,0,0,1,0,0,2,79,39,49,61,4.76837e-05,24934,1169073,277,65,122.77,Y
../benchmarks/raycasting15,0,0,0,0,1,0,1,0,71,34,40,44,0.195312,24615,900282,216,43,129.16,Y
../benchmarks/raycasting16,0,0,0,0,1,0,1,1,74,35,44,51,0.195312,-1,-1,-1,-1,-1,N
../benchmarks/raycasting17,0,0,0,0,1,0,1,2,79,38,48,66,0.195312,26094,1058180,266,68,132.04,Y
../benchmarks/raycasting18,0,0,0,0,1,1,0,0,71,35,44,37,4.76837e-05,22976,1030604,247,38,123.15,Y
../benchmarks/raycasting19,0,0,0,0,1,1,0,1,74,36,47,42,4.76837e-05,22066,1099663,259,44,128.81,Y
../benchmarks/raycasting20,0,0,0,0,1,1,0,2,79,39,49,57,4.76837e-05,24625,1169003,279,61,131.22,Y
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,70,34,40,42,0.195312,24350,900282,216,41,132.81,Y
../benchmarks/raycasting22,0,0,0,0,1,1,1,1,72,34,43,47,0.195312,23398,958914,225,47,133.08,Y
../benchmarks/raycasting23,0,0,0,0,1,1,1,2,77,37,47,63,0.195312,25721,1058180,266,64,131.04,Y
../benchmarks/raycasting24,0,0,0,1,0,0,0,0,78,38,52,38,4.76837e-05,24204,1530117,311,40,135.77,Y
../benchmarks/raycasting25,0,0,0,1,0,0,0,1,77,38,55,46,4.76837e-05,23339,1598583,323,48,126.13,Y
../benchmarks/raycasting26,0,0,0,1,0,0,0,2,82,41,57,61,4.76837e-05,25990,1668074,341,65,130.02,Y
../benchmarks/raycasting27,0,0,0,1,0,0,1,0,80,37,54,44,0.195312,25101,1168591,250,43,129.22,Y
../benchmarks/raycasting28,0,0,0,1,0,0,1,1,80,38,58,51,0.195312,24325,1226711,259,51,132.57,Y
../benchmarks/raycasting29,0,0,0,1,0,0,1,2,85,41,61,66,0.195312,26628,1325977,300,68,131.82,Y
../benchmarks/raycasting30,0,0,0,1,0,1,0,0,78,38,52,37,4.76837e-05,24004,1530117,311,38,131.99,Y
../benchmarks/raycasting31,0,0,0,1,0,1,0,1,77,38,55,42,4.76837e-05,23151,1598664,323,44,134.24,Y
../benchmarks/raycasting32,0,0,0,1,0,1,0,2,82,41,57,57,4.76837e-05,25681,1668004,343,61,135.64,Y
../benchmarks/raycasting33,0,0,0,1,0,1,1,0,80,37,54,42,0.195312,24932,1168591,250,41,128.5,Y
